name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type)
Chutney Chang,Yes,Yes,4.2,4733,Church Street,Casual Dining,North Indian,1500,Delivery
Chutney Chang,Yes,Yes,4.2,4733,Church Street,Casual Dining,Chinese,1500,Delivery
Smoor,Yes,No,4.1,63,MG Road,Dessert Parlor,Desserts,900,Delivery
Chai Point,No,No,3.8,148,Cunningham Road,"Beverage Shop, Quick Bites",Fast Food,250,Delivery
Infinitea Tea Room & Tea Store,Yes,Yes,4.3,860,Cunningham Road,"Casual Dining, Cafe",Continental,1000,Delivery
Infinitea Tea Room & Tea Store,Yes,Yes,4.3,860,Cunningham Road,"Casual Dining, Cafe",Cafe,1000,Delivery
Infinitea Tea Room & Tea Store,Yes,Yes,4.3,860,Cunningham Road,"Casual Dining, Cafe",Desserts,1000,Delivery
Hoppipola,Yes,No,4.3,1708,Church Street,Lounge,Continental,1300,Delivery
The Belgian Waffle Co.,Yes,No,3.7,73,Residency Road,Dessert Parlor,Desserts,350,Delivery
Happy Belly Bakes,Yes,No,4.2,116,MG Road,"Cafe, Bakery",Cafe,500,Delivery
Sunny's,No,Yes,4.1,1330,Lavelle Road,"Casual Dining, Bar",Italian,2100,Delivery
Sunny's,No,Yes,4.1,1330,Lavelle Road,"Casual Dining, Bar",Continental,2100,Delivery
Truffles,No,No,4.5,3573,St. Marks Road,Cafe,Cafe,900,Delivery
Truffles,No,No,4.5,3573,St. Marks Road,Cafe,American,900,Delivery
Art of Delight,No,No,4.4,1899,Residency Road,Dessert Parlor,Desserts,400,Delivery
Pashto,No,No,4.1,768,Residency Road,Casual Dining,North Indian,800,Delivery
Lakeview Milkbar,No,No,4.0,1445,MG Road,"Dessert Parlor, Cafe",Desserts,500,Delivery
Lakeview Milkbar,No,No,4.0,1445,MG Road,"Dessert Parlor, Cafe",Cafe,500,Delivery
Lakeview Milkbar,No,No,4.0,1445,MG Road,"Dessert Parlor, Cafe",Fast Food,500,Delivery
Juice Junction,Yes,No,4.0,101,St. Marks Road,Quick Bites,Fast Food,150,Delivery
New Prashanth Naati Style,No,No,3.8,29,Cunningham Road,Quick Bites,South Indian,400,Delivery
Rolls On Wheels,No,No,3.7,61,Cunningham Road,Quick Bites,Fast Food,200,Delivery
Grand Spicy Restaurant,No,No,3.6,34,Cunningham Road,Casual Dining,North Indian,700,Delivery
Grand Spicy Restaurant,No,No,3.6,34,Cunningham Road,Casual Dining,Chinese,700,Delivery
Sidewalk Cafe - Nahar's Heritage Hotel,No,No,3.9,136,St. Marks Road,Casual Dining,Italian,800,Delivery
